Unix;Date;Symbol;Open;High;Low;Close;Volume 1INCH;Volume BUSD;tradecount
1,67E+12;23.10.2022;1INCHBUSD;0.572;0.581;0.559;0.58;784061.0;447916.8601;2358
1,67E+12;22.10.2022;1INCHBUSD;0.569;0.573;0.557;0.571;593378.0;335865.172;2227
1,67E+12;21.10.2022;1INCHBUSD;0.561;0.57;0.544;0.569;1336761.2;746768.0249;4468
1,67E+12;20.10.2022;1INCHBUSD;0.566;0.581;0.556;0.563;665144.2;377752.1833;3279
1,67E+12;19.10.2022;1INCHBUSD;0.571;0.583;0.557;0.566;748859.1;427278.1135;3862
1,67E+12;18.10.2022;1INCHBUSD;0.577;0.583;0.561;0.571;868309.2;495841.6491;3771
1,67E+12;17.10.2022;1INCHBUSD;0.569;0.578;0.563;0.576;400371.5;228657.8615;1759
1,67E+12;16.10.2022;1INCHBUSD;0.562;0.572;0.56;0.569;250214.2;141586.0614;1691
1,67E+12;15.10.2022;1INCHBUSD;0.56;0.568;0.557;0.562;251851.5;142000.0933;1600
1,67E+12;14.10.2022;1INCHBUSD;0.564;0.579;0.553;0.56;482368.2;274115.5663;1992
1,67E+12;13.10.2022;1INCHBUSD;0.569;0.57;0.536;0.563;832682.0;458953.9605;3743
1,67E+12;12.10.2022;1INCHBUSD;0.563;0.574;0.562;0.57;225554.2;128265.4601;1117
1,67E+12;11.10.2022;1INCHBUSD;0.575;0.575;0.558;0.562;297815.5;168468.8703;1743
1,67E+12;10.10.2022;1INCHBUSD;0.607;0.619;0.575;0.576;451795.8;268914.1201;2628
1,67E+12;09.10.2022;1INCHBUSD;0.6;0.612;0.597;0.607;324750.4;196113.9326;1843
1,67E+12;08.10.2022;1INCHBUSD;0.614;0.627;0.593;0.599;1144276.7;694824.1964;3783
1,67E+12;07.10.2022;1INCHBUSD;0.574;0.662;0.573;0.615;5335866.0;3330309.246;18556
1,67E+12;06.10.2022;1INCHBUSD;0.585;0.593;0.573;0.575;363598.9;212779.3034;1493
1,66E+12;05.10.2022;1INCHBUSD;0.586;0.589;0.567;0.585;409142.6;236928.8595;1428
1,66E+12;04.10.2022;1INCHBUSD;0.573;0.59;0.57;0.585;455929.9;264939.9076;1180
1,66E+12;03.10.2022;1INCHBUSD;0.552;0.575;0.545;0.573;355968.0;201082.0173;1281
1,66E+12;02.10.2022;1INCHBUSD;0.574;0.578;0.553;0.554;387331.0;218371.5506;1683
1,66E+12;01.10.2022;1INCHBUSD;0.578;0.581;0.572;0.575;169325.6;97690.6651;728
1,66E+12;30.09.2022;1INCHBUSD;0.585;0.591;0.561;0.576;844188.3;490109.9712;2847
1,66E+12;29.09.2022;1INCHBUSD;0.587;0.593;0.573;0.585;705059.5;410534.5474;2426
1,66E+12;28.09.2022;1INCHBUSD;0.608;0.611;0.575;0.586;1202326.4;704292.2518;3701
1,66E+12;27.09.2022;1INCHBUSD;0.625;0.649;0.601;0.608;1011765.7;640401.3118;3662
1,66E+12;26.09.2022;1INCHBUSD;0.6;0.637;0.598;0.625;1199837.9;741926.354;5110
1,66E+12;25.09.2022;1INCHBUSD;0.607;0.626;0.59;0.601;1057878.1;649419.6462;3663
1,66E+12;24.09.2022;1INCHBUSD;0.609;0.626;0.601;0.607;617524.2;378349.8564;2079
1,66E+12;23.09.2022;1INCHBUSD;0.593;0.62;0.584;0.608;874217.6;526554.3473;3661
1,66E+12;22.09.2022;1INCHBUSD;0.562;0.597;0.56;0.593;723925.0;419940.6703;2568
1,66E+12;21.09.2022;1INCHBUSD;0.599;0.609;0.553;0.563;838779.5;487796.877;4096
1,66E+12;20.09.2022;1INCHBUSD;0.597;0.608;0.585;0.601;271347.1;162411.758;1808
1,66E+12;19.09.2022;1INCHBUSD;0.571;0.601;0.554;0.595;814721.0;471125.096;2990
1,66E+12;18.09.2022;1INCHBUSD;0.626;0.64;0.533;0.572;513021.0;304104.5867;3457
1,66E+12;17.09.2022;1INCHBUSD;0.617;0.63;0.609;0.629;280704.8;173508.0008;1391
1,66E+12;16.09.2022;1INCHBUSD;0.59;0.625;0.583;0.616;927530.5;564725.0253;4206
1,66E+12;15.09.2022;1INCHBUSD;0.612;0.619;0.587;0.589;452523.7;272133.2825;3401
1,66E+12;14.09.2022;1INCHBUSD;0.593;0.618;0.59;0.613;621632.9;377482.8007;3099
1,66E+12;13.09.2022;1INCHBUSD;0.646;0.659;0.59;0.593;944820.2;587882.7112;4251
1,66E+12;12.09.2022;1INCHBUSD;0.648;0.674;0.633;0.649;618342.6;404422.4039;3659
1,66E+12;11.09.2022;1INCHBUSD;0.656;0.673;0.635;0.649;649973.0;429888.9122;2644
1,66E+12;10.09.2022;1INCHBUSD;0.659;0.682;0.648;0.657;527797.1;349562.5283;2674
1,66E+12;09.09.2022;1INCHBUSD;0.637;0.677;0.637;0.658;762342.4;502985.8822;3162
1,66E+12;08.09.2022;1INCHBUSD;0.632;0.643;0.616;0.639;487591.4;307177.9488;2556
1,66E+12;07.09.2022;1INCHBUSD;0.607;0.635;0.592;0.628;469220.3;288675.7592;2468
1,66E+12;06.09.2022;1INCHBUSD;0.662;0.676;0.6;0.608;1007898.2;646561.7029;4305
1,66E+12;05.09.2022;1INCHBUSD;0.673;0.678;0.648;0.662;212979.9;140587.3927;1154
1,66E+12;04.09.2022;1INCHBUSD;0.689;0.691;0.658;0.672;232714.5;156447.4906;1596
1,66E+12;03.09.2022;1INCHBUSD;0.713;0.713;0.677;0.688;316465.5;218097.9277;1483
1,66E+12;02.09.2022;1INCHBUSD;0.669;0.748;0.662;0.714;3292898.6;2372274.9613;9836
1,66E+12;01.09.2022;1INCHBUSD;0.662;0.671;0.636;0.669;400867.8;262615.3809;1942
1,66E+12;31.08.2022;1INCHBUSD;0.654;0.709;0.653;0.662;404410.6;277162.8321;3091
1,66E+12;30.08.2022;1INCHBUSD;0.671;0.684;0.638;0.653;238673.8;158364.7819;2167
1,66E+12;29.08.2022;1INCHBUSD;0.632;0.676;0.626;0.672;278212.9;182053.5303;1264
1,66E+12;28.08.2022;1INCHBUSD;0.652;0.668;0.63;0.63;207090.2;135220.4009;1540
1,66E+12;27.08.2022;1INCHBUSD;0.661;0.666;0.643;0.652;348965.8;228579.1355;2202
1,66E+12;26.08.2022;1INCHBUSD;0.744;0.747;0.656;0.66;506129.1;358201.2151;3466
1,66E+12;25.08.2022;1INCHBUSD;0.723;0.752;0.723;0.746;416962.8;309047.5156;1860
1,66E+12;24.08.2022;1INCHBUSD;0.725;0.742;0.708;0.721;199617.7;144762.1866;1148
1,66E+12;23.08.2022;1INCHBUSD;0.7;0.73;0.684;0.724;404891.3;288026.3703;3332
1,66E+12;22.08.2022;1INCHBUSD;0.7;0.701;0.658;0.7;286356.6;194491.6448;2223
1,66E+12;21.08.2022;1INCHBUSD;0.676;0.713;0.675;0.701;300012.4;208467.2967;2697
1,66E+12;20.08.2022;1INCHBUSD;0.677;0.701;0.657;0.677;291693.3;199629.8699;1928
1,66E+12;19.08.2022;1INCHBUSD;0.733;0.735;0.65;0.678;759442.7;523307.7602;4717
